2.352190590202454246e+02 4.174338887027293055e+01 -9.476584787558238077e+00
2.352310715040803473e+02 4.174350337478193751e+01 -9.633931938559726404e+00
2.352430840305250968e+02 4.174361662816050256e+01 -9.793157321963008144e+00
2.352550965991119369e+02 4.174372863039920389e+01 -9.954234864607826694e+00
2.352671092093729612e+02 4.174383938148877604e+01 -1.011714443015500819e+01
2.352791218608403483e+02 4.174394888142003168e+01 -1.028187207658646685e+01
2.352911345530462199e+02 4.174405713018388298e+01 -1.044840872128423825e+01
2.353031472855227264e+02 4.174416412777135577e+01 -1.061674569743684060e+01
2.353151600578019611e+02 4.174426987417357537e+01 -1.078686782875939798e+01
2.353271728694160743e+02 4.174437436938177370e+01 -1.095875069599736662e+01
2.353391857198970740e+02 4.174447761338728924e+01 -1.113236460813294570e+01
2.353511986087771106e+02 4.174457960618155994e+01 -1.130767858556089323e+01
2.353632115355881638e+02 4.174468034775611613e+01 -1.148466130395900109e+01
2.353752244998623837e+02 4.174477983810260895e+01 -1.166328081427741381e+01
2.353872375011317217e+02 4.174487807721278898e+01 -1.184350454436224709e+01
2.353992505389282428e+02 4.174497506507850630e+01 -1.202529984929680040e+01
2.354112636127839266e+02 4.174507080169171758e+01 -1.220863481576981258e+01
2.354232767222308098e+02 4.174516528704448604e+01 -1.239347897972714918e+01
2.354352898668008720e+02 4.174525852112896729e+01 -1.257980378260816678e+01
2.354473030460260929e+02 4.174535050393743063e+01 -1.276758276371685952e+01
2.354593162594383955e+02 4.174544123546225904e+01 -1.295679159479436748e+01
2.354713295065697878e+02 4.174553071569591367e+01 -1.314740811015030886e+01
2.354833427869521643e+02 4.174561894463098355e+01 -1.333941247531566887e+01
2.354953561001175331e+02 4.174570592226014298e+01 -1.353278755456085491e+01
2.355073694455977034e+02 4.174579164857617286e+01 -1.372751938759836321e+01
2.355193828229246833e+02 4.174587612357197486e+01 -1.392359758055044949e+01
2.355313962316303673e+02 4.174595934724054302e+01 -1.412101555086945837e+01
